sno,observationdate,provincestate,countryregion,lastupdate,confirmed,deaths,recovered
1,22/01/2020,Anhui,Mainland China,22/01/2020,1.0,0.0,0.0
2,22/01/2020,Beijing,Mainland China,22/01/2020,14.0,0.0,0.0
3,22/01/2020,Chongqing,Mainland China,22/01/2020,6.0,0.0,0.0
4,22/01/2020,Fujian,Mainland China,22/01/2020,1.0,0.0,0.0
5,22/01/2020,Gansu,Mainland China,22/01/2020,0.0,0.0,0.0
6,22/01/2020,Guangdong,Mainland China,22/01/2020,26.0,0.0,0.0
7,22/01/2020,Guangxi,Mainland China,22/01/2020,2.0,0.0,0.0
8,22/01/2020,Guizhou,Mainland China,22/01/2020,1.0,0.0,0.0
9,22/01/2020,Hainan,Mainland China,22/01/2020,4.0,0.0,0.0
10,22/01/2020,Hebei,Mainland China,22/01/2020,1.0,0.0,0.0
11,22/01/2020,Heilongjiang,Mainland China,22/01/2020,0.0,0.0,0.0
12,22/01/2020,Henan,Mainland China,22/01/2020,5.0,0.0,0.0
13,22/01/2020,Hong Kong,Hong Kong,22/01/2020,0.0,0.0,0.0
14,22/01/2020,Hubei,Mainland China,22/01/2020,444.0,17.0,28.0
15,22/01/2020,Hunan,Mainland China,22/01/2020,4.0,0.0,0.0
16,22/01/2020,Inner Mongolia,Mainland China,22/01/2020,0.0,0.0,0.0
17,22/01/2020,Jiangsu,Mainland China,22/01/2020,1.0,0.0,0.0
18,22/01/2020,Jiangxi,Mainland China,22/01/2020,2.0,0.0,0.0
19,22/01/2020,Jilin,Mainland China,22/01/2020,0.0,0.0,0.0
20,22/01/2020,Liaoning,Mainland China,22/01/2020,2.0,0.0,0.0
21,22/01/2020,Macau,Macau,22/01/2020,1.0,0.0,0.0
22,22/01/2020,Ningxia,Mainland China,22/01/2020,1.0,0.0,0.0
23,22/01/2020,Qinghai,Mainland China,22/01/2020,0.0,0.0,0.0
24,22/01/2020,Shaanxi,Mainland China,22/01/2020,0.0,0.0,0.0
25,22/01/2020,Shandong,Mainland China,22/01/2020,2.0,0.0,0.0
26,22/01/2020,Shanghai,Mainland China,22/01/2020,9.0,0.0,0.0
27,22/01/2020,Shanxi,Mainland China,22/01/2020,1.0,0.0,0.0
28,22/01/2020,Sichuan,Mainland China,22/01/2020,5.0,0.0,0.0
29,22/01/2020,Taiwan,Taiwan,22/01/2020,1.0,0.0,0.0
30,22/01/2020,Tianjin,Mainland China,22/01/2020,4.0,0.0,0.0
31,22/01/2020,Tibet,Mainland China,22/01/2020,0.0,0.0,0.0
32,22/01/2020,Washington,US,22/01/2020,1.0,0.0,0.0
33,22/01/2020,Xinjiang,Mainland China,22/01/2020,0.0,0.0,0.0
34,22/01/2020,Yunnan,Mainland China,22/01/2020,1.0,0.0,0.0
35,22/01/2020,Zhejiang,Mainland China,22/01/2020,10.0,0.0,0.0
36,22/01/2020,,Japan,22/01/2020,2.0,0.0,0.0
37,22/01/2020,,Thailand,22/01/2020,2.0,0.0,0.0
38,22/01/2020,,South Korea,22/01/2020,1.0,0.0,0.0
39,23/01/2020,Anhui,Mainland China,23/01/2020,9.0,0.0,0.0
40,23/01/2020,Beijing,Mainland China,23/01/2020,22.0,0.0,0.0
41,23/01/2020,Chongqing,Mainland China,23/01/2020,9.0,0.0,0.0
42,23/01/2020,Fujian,Mainland China,23/01/2020,5.0,0.0,0.0
43,23/01/2020,Gansu,Mainland China,23/01/2020,2.0,0.0,0.0
44,23/01/2020,Guangdong,Mainland China,23/01/2020,32.0,0.0,2.0
45,23/01/2020,Guangxi,Mainland China,23/01/2020,5.0,0.0,0.0
46,23/01/2020,Guizhou,Mainland China,23/01/2020,3.0,0.0,0.0
47,23/01/2020,Hainan,Mainland China,23/01/2020,5.0,0.0,0.0
48,23/01/2020,Hebei,Mainland China,23/01/2020,1.0,1.0,0.0
49,23/01/2020,Heilongjiang,Mainland China,23/01/2020,2.0,0.0,0.0
50,23/01/2020,Henan,Mainland China,23/01/2020,5.0,0.0,0.0
51,23/01/2020,Hong Kong,Hong Kong,23/01/2020,2.0,0.0,0.0
52,23/01/2020,Hubei,Mainland China,23/01/2020,444.0,17.0,28.0
53,23/01/2020,Hunan,Mainland China,23/01/2020,9.0,0.0,0.0
54,23/01/2020,Inner Mongolia,Mainland China,23/01/2020,0.0,0.0,0.0
55,23/01/2020,Jiangsu,Mainland China,23/01/2020,5.0,0.0,0.0
